year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,16,23,7,60,1619331787.060000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,181,1619331787.181000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,301,1619331787.301000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,421,1619331787.421000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,538,1619331787.538000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,662,1619331787.662000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,787,1619331787.787000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,7,915,1619331787.915000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,45,1619331788.045000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,179,1619331788.179000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,310,1619331788.310000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,430,1619331788.430000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,561,1619331788.561000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,682,1619331788.682000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,806,1619331788.806000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,8,924,1619331788.924000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,52,1619331789.052000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,171,1619331789.171000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,305,1619331789.305000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,436,1619331789.436000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,562,1619331789.562000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,685,1619331789.685000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,809,1619331789.809000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,9,928,1619331789.928000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,57,1619331790.057000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,184,1619331790.184000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,307,1619331790.307000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,434,1619331790.434000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,558,1619331790.558000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,678,1619331790.678000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,810,1619331790.810000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,10,928,1619331790.928000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,54,1619331791.054000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,176,1619331791.176000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,301,1619331791.301000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,434,1619331791.434000,0,0,0,0,0,0,0,26,26,26,26,
