year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,3,25,15,28,52,94,1616650132.094000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,211,1616650132.211000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,329,1616650132.329000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,446,1616650132.446000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,567,1616650132.567000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,693,1616650132.693000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,812,1616650132.812000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,52,930,1616650132.930000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,47,1616650133.047000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,169,1616650133.169000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,286,1616650133.286000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,400,1616650133.400000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,512,1616650133.512000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,629,1616650133.629000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,745,1616650133.745000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,866,1616650133.866000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,53,980,1616650133.980000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,96,1616650134.096000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,218,1616650134.218000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,331,1616650134.331000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,455,1616650134.455000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,575,1616650134.575000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,694,1616650134.694000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,815,1616650134.815000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,54,933,1616650134.933000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,50,1616650135.050000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,169,1616650135.169000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,290,1616650135.290000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,413,1616650135.413000,0,0,0,0,0,0,0,26,26,26,26,
