pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331790.87916,0.99985,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331791.13228,1.00047,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331791.57865,1.00074,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331791.60728,1.00131,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331791.87903,0.99987,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331792.13287,1.00059,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331792.57989,1.00124,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331792.60824,1.00096,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331792.87905,1.00002,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331793.13376,1.00089,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331793.58080,1.00091,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,10,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331793.60912,1.00088,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,8,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331793.87998,1.00093,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,10,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331794.13411,1.00035,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331794.58127,1.00047,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,11,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331794.60948,1.00036,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,9,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331794.87943,0.99945,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,11,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331795.13514,1.00103,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,10,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331795.58218,1.00091,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,12,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331795.61058,1.00110,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,10,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331795.87990,1.00047,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,12,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331796.13559,1.00045,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,11,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331796.58261,1.00043,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,13,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331796.61152,1.00094,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,11,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331796.88041,1.00051,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,13,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331797.13621,1.00062,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,12,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331797.58317,1.00056,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,14,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331797.61149,0.99997,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,12,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331797.88038,0.99997,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,14,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331798.13685,1.00064,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,13,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331798.58354,1.00037,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,15,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331798.61273,1.00124,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,13,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331798.88034,0.99996,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,15,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331799.13795,1.00110,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,14,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
